SPP,NAME,A-LEFT,A-RIGHT,A-NA,A-PROP,B-LEFT,B-RIGHT,B-NA,B-PROP,TOT-LEFT,TOT-RIGHT,TOT-NA,TOT-PROP,AVG-PROP,,,,
P.lat,Beijing,172,109,15,0.612099644,147,149,0,0.496621622,319,258,15,0.552859619,0.554360633,,,,
P.lat,Camila,129,151,16,0.460714286,136,158,2,0.462585034,265,309,18,0.461672474,0.46164966,,,,
P.lat,Jessica,171,123,2,0.581632653,104,182,10,0.363636364,275,305,12,0.474137931,0.472634508,,,,
P.lat,London,157,128,11,0.550877193,119,167,10,0.416083916,276,295,21,0.483362522,0.483480555,,,,
P.lat,Melissa,127,164,5,0.436426117,157,129,10,0.548951049,284,293,15,0.49220104,0.492688583,,,,
P.lat,Paris,130,153,13,0.459363958,150,143,3,0.511945392,280,296,16,0.486111111,0.485654675,,,,
P.lat,Penny,116,170,10,0.405594406,145,146,5,0.498281787,261,316,15,0.452339688,0.451938096,,,,
P.lat,Rachel,155,120,21,0.563636364,156,129,11,0.547368421,311,249,32,0.555357143,0.555502392,,,,
P.lat,Rebecca,128,160,8,0.444444444,133,150,13,0.469964664,261,310,21,0.45709282,0.457204554,,,,
P.lat,Riley,182,108,6,0.627586207,171,118,7,0.591695502,353,226,13,0.609671848,0.609640854,,,,
P.lat,Sophia,130,135,31,0.490566038,134,153,9,0.466898955,264,288,40,0.47826087,0.478732496,,,,
P.lat,Stella,134,155,7,0.46366782,152,127,17,0.544802867,286,282,24,0.503521127,0.504235344,,,,
P.lat,Zoey,150,112,34,0.572519084,148,143,5,0.508591065,298,255,39,0.538878843,0.540555075,,,,
P.lat,Cypress,121,174,1,0.410169492,130,148,18,0.467625899,251,322,19,0.438045375,0.438897695,,,,
P.lat,Evangeline,141,114,41,0.552941176,151,101,44,0.599206349,292,215,85,0.575936884,0.576073763,,,,
P.lat,Rumi,138,103,55,0.572614108,236,53,7,0.816608997,374,156,62,0.705660377,0.694611552,,,,
P.lat,Willow,113,181,2,0.384353741,180,107,9,0.6271777,293,288,11,0.504302926,0.505765721,,,,
P.lat,Elena,125,153,18,0.449640288,149,136,11,0.522807018,274,289,29,0.486678508,0.486223653,,,,
P.lat,Brielle,152,138,6,0.524137931,164,121,11,0.575438596,316,259,17,0.549565217,0.549788264,,,,
P.lat,Amara,115,134,47,0.46184739,107,150,39,0.416342412,222,284,86,0.438735178,0.439094901,,,,
P.form,Kai,135,122,39,0.525291829,126,133,37,0.486486486,261,255,76,0.505813953,0.505889158,,,,
P.form,Maeve,129,153,14,0.457446809,108,140,48,0.435483871,237,293,62,0.447169811,0.44646534,,,,
P.form,Cayenne,132,153,11,0.463157895,95,191,10,0.332167832,227,344,21,0.397548161,0.397662863,,,,
P.form,Freya,157,124,15,0.558718861,131,158,7,0.453287197,288,282,22,0.505263158,0.506003029,,,,
P.form,Ana,132,150,14,0.468085106,150,137,9,0.522648084,282,287,23,0.495606327,0.495366595,,,,
P.form,Ashley,172,112,12,0.605633803,147,128,21,0.534545455,319,240,33,0.570661896,0.570089629,,,,
P.form,Ava,144,133,19,0.519855596,160,119,17,0.573476703,304,252,36,0.54676259,0.546666149,,,,
P.form,Chloe,152,139,5,0.52233677,138,154,4,0.47260274,290,293,9,0.497427101,0.497469755,,,,
P.form,Dory,142,139,15,0.505338078,144,137,15,0.512455516,286,276,30,0.508896797,0.508896797,,,,
P.form,Emmy,140,141,15,0.498220641,148,131,17,0.53046595,288,272,32,0.514285714,0.514343295,,,,
P.form,Gretchen,5,291,0,0.016891892,145,144,7,0.501730104,150,435,7,0.256410256,0.259310998,,,,
P.form,Layla,134,151,11,0.470175439,143,146,7,0.494809689,277,297,18,0.482578397,0.482492564,,,,
P.form,Lily,142,148,6,0.489655172,144,147,5,0.494845361,286,295,11,0.492254733,0.492250267,,,,
P.form,Makayla,147,146,3,0.501706485,177,113,6,0.610344828,324,259,9,0.555746141,0.556025656,,,,
P.form,Megan,128,162,6,0.44137931,163,126,7,0.564013841,291,288,13,0.502590674,0.502696576,,,,
P.form,Olivia,135,151,10,0.472027972,153,126,17,0.548387097,288,277,27,0.509734513,0.510207534,,,,
P.form,Rosy,183,100,13,0.64664311,138,133,25,0.509225092,321,233,38,0.579422383,0.577934101,,,,
P.form,Skylar,142,143,11,0.498245614,139,128,29,0.520599251,281,271,40,0.509057971,0.509422432,,,,
P.form,Sofia,109,182,5,0.374570447,139,151,6,0.479310345,248,333,11,0.426850258,0.426940396,,,,
P.form,Tory,150,144,2,0.510204082,148,136,12,0.521126761,298,280,14,0.515570934,0.515665421,,,,
