SPP,NAME,TANK,LEFT,RIGHT,NA,PROP
P.lat,Beijing,A,172,109,15,0.612099644
P.lat,Beijing,B,147,149,0,0.496622
P.lat,Camila,A,129,151,16,0.460714286
P.lat,Camila,B,136,158,2,0.462585
P.lat,Jessica,A,171,123,2,0.581632653
P.lat,Jessica,B,104,182,10,0.363636
P.lat,London,A,157,128,11,0.550877193
P.lat,London,B,119,167,10,0.41608
P.lat,Melissa,A,127,164,5,0.436426117
P.lat,Melissa,B,157,129,10,0.548951
P.lat,Paris,A,130,153,13,0.459363958
P.lat,Paris,B,150,143,3,0.511945
P.lat,Penny,A,116,170,10,0.405594406
P.lat,Penny,B,145,146,5,0.498281787
P.lat,Rachel,A,155,120,21,0.563636364
P.lat,Rachel,B,156,129,11,0.547368421
P.lat,Rebecca,A,128,160,8,0.444444444
P.lat,Rebecca,B,133,150,13,0.469964664
P.lat,Riley,A,182,108,6,0.627586207
P.lat,Riley,B,171,118,7,0.591695502
P.lat,Sophia,A,130,135,31,0.490566038
P.lat,Sophia,B,134,153,9,0.466898955
P.lat,Stella,A,134,155,7,0.46366782
P.lat,Stella,B,152,127,17,0.544802867
P.lat,Zoey,A,150,112,34,0.572519084
P.lat,Zoey,B,148,143,5,0.508591065
P.lat,Cypress,A,121,174,1,0.410169492
P.lat,Cypress,B,130,148,18,0.467625899
P.lat,Evangeline,A,141,114,41,0.552941176
P.lat,Evangeline,B,151,101,44,0.599206349
P.lat,Rumi,A,138,103,55,0.572614108
P.lat,Rumi,B,236,53,7,0.816608997
P.lat,Willow,A,113,181,2,0.384353741
P.lat,Willow,B,180,107,9,0.6271777
P.lat,Elena,A,125,153,18,0.449640288
P.lat,Elena,B,149,136,11,0.522807018
P.lat,Brielle,A,152,138,6,0.524137931
P.lat,Brielle,B,164,121,11,0.575438596
P.lat,Amara,A,115,134,47,0.46184739
P.lat,Amara,B,107,150,39,0.416342412
P.form,Kai,A,135,122,39,0.525291829
P.form,Kai,B,126,133,37,0.486486486
P.form,Maeve,A,129,153,14,0.457446809
P.form,Maeve,B,108,140,48,0.435483871
P.form,Cayenne,A,132,153,11,0.463157895
P.form,Cayenne,B,95,191,10,0.332167832
P.form,Freya,A,157,124,15,0.558718861
P.form,Freya,B,131,158,7,0.453287197
P.form,Ana,A,132,150,14,0.468085106
P.form,Ana,B,150,137,9,0.522648084
P.form,Ashley,A,172,112,12,0.605633803
P.form,Ashley,B,147,128,21,0.534545455
P.form,Ava,A,144,133,19,0.519855596
P.form,Ava,B,160,119,17,0.573476703
P.form,Chloe,A,152,139,5,0.52233677
P.form,Chloe,B,138,154,4,0.47260274
P.form,Dory,A,142,139,15,0.505338078
P.form,Dory,B,144,137,15,0.512455516
P.form,Emmy,A,140,141,15,0.498220641
P.form,Emmy,B,148,131,17,0.53046595
P.form,Gretchen,A,5,291,0,0.016891892
P.form,Gretchen,B,145,144,7,0.501730104
P.form,Layla,A,134,151,11,0.470175439
P.form,Layla,B,143,146,7,0.494809689
P.form,Lily,A,142,148,6,0.489655172
P.form,Lily,B,144,147,5,0.494845361
P.form,Makayla,A,147,146,3,0.501706485
P.form,Makayla,B,177,113,6,0.610344828
P.form,Megan,A,128,162,6,0.44137931
P.form,Megan,B,163,126,7,0.564013841
P.form,Olivia,A,135,151,10,0.472027972
P.form,Olivia,B,153,126,17,0.548387097
P.form,Rosy,A,183,100,13,0.64664311
P.form,Rosy,B,138,133,25,0.509225092
P.form,Skylar,A,142,143,11,0.498245614
P.form,Skylar,B,139,128,29,0.520599251
P.form,Sofia,A,109,182,5,0.374570447
P.form,Sofia,B,139,151,6,0.479310345
P.form,Tory,A,150,144,2,0.510204082
P.form,Tory,B,148,136,12,0.521126761
